county,precinct,office,district,seats,party,candidate,votes
Cache,AMA:I,President,,,,Total Votes,235
Cache,AMA:I,President,,,NON,Cornel Ronald WEST / Melina ABDULLAH,1
Cache,AMA:I,President,,,NON,"Lucifer ""JUSTIN CASE"" EVERYLOVE",0
Cache,AMA:I,President,,,CON,Joel SKOUSEN / Rik COMBS,1
Cache,AMA:I,President,,,GRN,Jill STEIN / Rudolph WARE,1
Cache,AMA:I,President,,,REP,Donald J. TRUMP / JD VANCE,189
Cache,AMA:I,President,,,LBT,Chase OLIVER / Mike ter MAAT,1
Cache,AMA:I,President,,,DEM,Kamala D. HARRIS / Tim WALZ,37
Cache,AMA:I,President,,,NON,Claudia DE LA CRUZ / Karina Alexandra GARCIA,0
Cache,AMA:I,President,,,,FUTURE MADAM POTUS,0
Cache,AMA:I,President,,,,Peter SONSKI / Lauren Michelle ONAK,0
Cache,AMA:I,President,,,,Jay J BOWMAN / De D. BOWMAN,0
Cache,AMA:I,President,,,,Steve M. JOHNSON,0
Cache,AMA:I,President,,,,Andre Ramon McNEIL,0
Cache,AMA:I,President,,,,Shondra Yevette IRVING,0
Cache,AMA:I,President,,,,Buddie Arden WILKERSON,0
Cache,AMA:I,President,,,,Over Votes,1
Cache,AMA:I,President,,,,Under Votes,3
Cache,AMA:I,U.S. Senate,,,,Total Votes,235
Cache,AMA:I,U.S. Senate,,,IAP,Carlton E. BOWEN,20
Cache,AMA:I,U.S. Senate,,,REP,John CURTIS,191
Cache,AMA:I,U.S. Senate,,,DEM,Caroline GLEICH,20
Cache,AMA:I,U.S. Senate,,,,Laird FETZER HAMBLIN,0
Cache,AMA:I,U.S. Senate,,,,Over Votes,0
Cache,AMA:I,U.S. Senate,,,,Under Votes,4
Cache,AMA:I,U.S. House,1,,,Total Votes,235
Cache,AMA:I,U.S. House,1,,DEM,Bill CAMPBELL,27
Cache,AMA:I,U.S. House,1,,LBT,Daniel R. COTTAM,5
Cache,AMA:I,U.S. House,1,,REP,Blake D. MOORE,198
Cache,AMA:I,U.S. House,1,,,Over Votes,0
Cache,AMA:I,U.S. House,1,,,Under Votes,5
Cache,AMA:I,Governor,,,,Total Votes,235
Cache,AMA:I,Governor,,,REP,Spencer J. COX / Deidre M. HENDERSON,153
Cache,AMA:I,Governor,,,IAP,Tommy WILLIAMS / Archie A. WILLIAMS III,6
Cache,AMA:I,Governor,,,DEM,Brian SMITH KING / Rebekah CUMMINGS,22
Cache,AMA:I,Governor,,,LBT,J. Robert LATHAM / Barry Evan SHORT,2
Cache,AMA:I,Governor,,,NON,Tom TOMENY / William LANSING TAYLOR,4
Cache,AMA:I,Governor,,,,Phil LYMAN / Natalie CLAWSON,43
Cache,AMA:I,Governor,,,,Charlie TAUTUAA / Sylvia MIERA FISK,0
Cache,AMA:I,Governor,,,,Over Votes,1
Cache,AMA:I,Governor,,,,Under Votes,4
Cache,AMA:I,Attorney General,,,,Total Votes,235
Cache,AMA:I,Attorney General,,,REP,Derek BROWN,177
Cache,AMA:I,Attorney General,,,DEM,Rudy J BAUTISTA,22
Cache,AMA:I,Attorney General,,,LBT,W. Andrew McCULLOUGH,9
Cache,AMA:I,Attorney General,,,NON,Austin HEPWORTH,10
Cache,AMA:I,Attorney General,,,UUP,Michelle QUIST,9
Cache,AMA:I,Attorney General,,,,Over Votes,0
Cache,AMA:I,Attorney General,,,,Under Votes,8
Cache,AMA:I,State Auditor,,,,Total Votes,235
Cache,AMA:I,State Auditor,,,REP,Tina CANNON,177
Cache,AMA:I,State Auditor,,,CON,Jeffrey L. OSTLER,24
Cache,AMA:I,State Auditor,,,DEM,Catherine VOUTAZ,25
Cache,AMA:I,State Auditor,,,,Over Votes,0
Cache,AMA:I,State Auditor,,,,Under Votes,9
Cache,AMA:I,State Treasurer,,,,Total Votes,235
Cache,AMA:I,State Treasurer,,,UFP,Miles POMEROY,8
Cache,AMA:I,State Treasurer,,,REP,Marlo M. OAKS,189
Cache,AMA:I,State Treasurer,,,DEM,Neil A HANSEN,30
Cache,AMA:I,State Treasurer,,,,Over Votes,0
Cache,AMA:I,State Treasurer,,,,Under Votes,8
Cache,AMA:I,State Senate,2,,,Total Votes,235
Cache,AMA:I,State Senate,2,,REP,Chris WILSON,201
Cache,AMA:I,State Senate,2,,DEM,Nancy HUNTLY,25
Cache,AMA:I,State Senate,2,,,Over Votes,0
Cache,AMA:I,State Senate,2,,,Under Votes,9
Cache,AMA:I,State House,2,,,Total Votes,235
Cache,AMA:I,State House,2,,DEM,Tom LILJEGREN,29
Cache,AMA:I,State House,2,,REP,Michael J. PETERSEN,190
Cache,AMA:I,State House,2,,,Over Votes,0
Cache,AMA:I,State House,2,,,Under Votes,16
Cache,AMA:I,County Council,North 4,,,Total Votes,235
Cache,AMA:I,County Council,North 4,,REP,David ERICKSON,194
Cache,AMA:I,County Council,North 4,,,Over Votes,0
Cache,AMA:I,County Council,North 4,,,Under Votes,41
Cache,AMA:I,County Assessor,,,,Total Votes,235
Cache,AMA:I,County Assessor,,,REP,Brett ROBINSON,190
Cache,AMA:I,County Assessor,,,,Over Votes,0
Cache,AMA:I,County Assessor,,,,Under Votes,45
Cache,AMA:I,County Attorney,,,,Total Votes,235
Cache,AMA:I,County Attorney,,,REP,K. Taylor SORENSEN,190
Cache,AMA:I,County Attorney,,,,Over Votes,0
Cache,AMA:I,County Attorney,,,,Under Votes,45
Cache,AMA:I,County Auditor,,,,Total Votes,235
Cache,AMA:I,County Auditor,,,REP,Matthew C FUNK,190
Cache,AMA:I,County Auditor,,,,Over Votes,0
Cache,AMA:I,County Auditor,,,,Under Votes,45
Cache,AMA:I,County Clerk,,,,Total Votes,235
Cache,AMA:I,County Clerk,,,REP,Bryson J. BEHM,159
Cache,AMA:I,County Clerk,,,NON,David R. GILLIE,45
Cache,AMA:I,County Clerk,,,,Over Votes,0
Cache,AMA:I,County Clerk,,,,Under Votes,31
Cache,AMA:I,County Recorder,,,,Total Votes,235
Cache,AMA:I,County Recorder,,,REP,Tennille JOHNSON,183
Cache,AMA:I,County Recorder,,,,Over Votes,0
Cache,AMA:I,County Recorder,,,,Under Votes,52
Cache,AMA:I,County Treasurer,,,,Total Votes,235
Cache,AMA:I,County Treasurer,,,REP,Craig MCALLISTER,190
Cache,AMA:I,County Treasurer,,,,Over Votes,0
Cache,AMA:I,County Treasurer,,,,Under Votes,45
Cache,AMA:I,Cache Water Commission,At Large,,,Total Votes,235
Cache,AMA:I,Cache Water Commission,At Large,,NON,Jared L. CLAWSON,160
Cache,AMA:I,Cache Water Commission,At Large,,NON,Brett ROPER,143
Cache,AMA:I,Cache Water Commission,At Large,,,Over Votes,0
Cache,AMA:I,Cache Water Commission,At Large,,,Under Votes,167
Cache,AMA:I,Cache Water Commission,North 4,,,Total Votes,235
Cache,AMA:I,Cache Water Commission,North 4,,NON,Max L. PIERCE,186
Cache,AMA:I,Cache Water Commission,North 4,,,Over Votes,0
Cache,AMA:I,Cache Water Commission,North 4,,,Under Votes,49
Cache,AMA:I,Retain Supreme Court Justice-Matthew B. DURRANT,,,,Total Votes,235
Cache,AMA:I,Retain Supreme Court Justice-Matthew B. DURRANT,,,NON,Yes,174
Cache,AMA:I,Retain Supreme Court Justice-Matthew B. DURRANT,,,NON,No,37
Cache,AMA:I,Retain Supreme Court Justice-Matthew B. DURRANT,,,,Over Votes,0
Cache,AMA:I,Retain Supreme Court Justice-Matthew B. DURRANT,,,,Under Votes,24
Cache,AMA:I,Retain Court of Appeals Justice-Ryan D. TENNEY,,,,Total Votes,235
Cache,AMA:I,Retain Court of Appeals Justice-Ryan D. TENNEY,,,NON,Yes,180
Cache,AMA:I,Retain Court of Appeals Justice-Ryan D. TENNEY,,,NON,No,30
Cache,AMA:I,Retain Court of Appeals Justice-Ryan D. TENNEY,,,,Over Votes,0
Cache,AMA:I,Retain Court of Appeals Justice-Ryan D. TENNEY,,,,Under Votes,25
Cache,AMA:I,Retain 1st District Court Judge-Spencer D. WALSH,,,,Total Votes,235
Cache,AMA:I,Retain 1st District Court Judge-Spencer D. WALSH,,,NON,Yes,180
Cache,AMA:I,Retain 1st District Court Judge-Spencer D. WALSH,,,NON,No,30
Cache,AMA:I,Retain 1st District Court Judge-Spencer D. WALSH,,,,Over Votes,0
Cache,AMA:I,Retain 1st District Court Judge-Spencer D. WALSH,,,,Under Votes,25
Cache,AMA:I,Retain 1st District Court Judge-Brandon J. MAYNARD,,,,Total Votes,235
Cache,AMA:I,Retain 1st District Court Judge-Brandon J. MAYNARD,,,NON,Yes,178
Cache,AMA:I,Retain 1st District Court Judge-Brandon J. MAYNARD,,,NON,No,31
Cache,AMA:I,Retain 1st District Court Judge-Brandon J. MAYNARD,,,,Over Votes,0
Cache,AMA:I,Retain 1st District Court Judge-Brandon J. MAYNARD,,,,Under Votes,26
Cache,AMA:I,Retain 1st District Juvenile Court Judge-Bryan P GALLOWAY,,,,Total Votes,235
Cache,AMA:I,Retain 1st District Juvenile Court Judge-Bryan P GALLOWAY,,,NON,Yes,181
Cache,AMA:I,Retain 1st District Juvenile Court Judge-Bryan P GALLOWAY,,,NON,No,30
Cache,AMA:I,Retain 1st District Juvenile Court Judge-Bryan P GALLOWAY,,,,Over Votes,0
Cache,AMA:I,Retain 1st District Juvenile Court Judge-Bryan P GALLOWAY,,,,Under Votes,24
Cache,AMA:I,Constitutional Amendment B,,,,Total Votes,235
Cache,AMA:I,Constitutional Amendment B,,,NON,For,136
